Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",3.0,1.8,4.1,1.2,8.0,0.9,9.2
"WMO (1961-1990)","Historical",3.4,2.1,4.0,1.4,8.4,1.1,9.8
"1961-2015","Historical",3.7,2.4,4.3,1.6,8.8,1.2,10.1
"1980-2015","Historical",3.7,2.6,4.5,1.7,9.1,1.3,10.3
"WMO (1981-2010)","Historical",3.6,2.5,4.4,1.7,9.1,1.3,10.2
"AR5 (1986-2005)","Historical",3.8,2.5,4.5,1.6,9.2,1.3,10.1
"AR6 (1995-2014)","Historical",4.1,2.6,4.9,1.9,9.4,1.4,10.9

CMIP6 - Days with TX above 35ºC (TX35)  days - 1981-2010   - June (28 models)-MED
