Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",2.6,1.8,3.1,1.3,3.5,1.1,3.7
"1961-2015","Historical",2.8,2.0,3.4,1.4,3.9,1.2,4.2
"1980-2015","Historical",2.9,2.1,3.5,1.3,3.9,1.2,4.3
"WMO (1981-2010)","Historical",2.9,2.0,3.4,1.3,3.8,1.2,4.2
"AR5 (1986-2005)","Historical",2.9,2.0,3.3,1.3,3.8,1.2,4.2
"AR6 (1995-2014)","Historical",3.1,2.1,3.8,1.4,4.2,1.3,4.6

CORDEX Europe - Days with TX above 35ºC (TX35)  days - 1981-2010   - June (48 models)-MED
