Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",0.7,0.7,0.8,0.6,0.8,0.6,0.8
"1961-2015","Historical",0.8,0.8,0.8,0.8,0.9,0.8,0.9
"1980-2015","Historical",0.9,0.9,0.9,0.8,0.9,0.8,1.0
"WMO (1981-2010)","Historical",0.9,0.8,0.9,0.8,0.9,0.8,0.9
"AR5 (1986-2005)","Historical",0.9,0.8,0.9,0.8,0.9,0.8,0.9
"AR6 (1995-2014)","Historical",1.0,0.9,1.0,0.9,1.1,0.9,1.1

CMIP6 - Bias Adjusted TX40  days - 1981-2010   - June (26 models)-MED
