Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",0.4,0.2,1.1,0.1,2.5,0.1,4.9
"WMO (1961-1990)","Historical",0.5,0.2,1.1,0.1,2.9,0.1,5.3
"1961-2015","Historical",0.7,0.3,1.3,0.2,3.1,0.1,5.6
"1980-2015","Historical",0.8,0.3,1.5,0.2,3.1,0.1,5.8
"WMO (1981-2010)","Historical",0.7,0.3,1.4,0.2,3.1,0.1,5.7
"AR5 (1986-2005)","Historical",0.7,0.3,1.4,0.2,3.1,0.1,5.6
"AR6 (1995-2014)","Historical",0.9,0.3,1.6,0.3,3.5,0.1,6.1

CMIP6 - Days with TX above 40ºC (TX40)  days - 1981-2010   - June (28 models)-MED
