Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",0.5,0.3,0.6,0.2,0.7,0.1,0.9
"1961-2015","Historical",0.6,0.3,0.7,0.2,0.9,0.1,1.0
"1980-2015","Historical",0.6,0.3,0.7,0.2,0.9,0.1,1.1
"WMO (1981-2010)","Historical",0.6,0.3,0.7,0.2,0.9,0.1,1.1
"AR5 (1986-2005)","Historical",0.6,0.3,0.7,0.2,0.9,0.1,1.0
"AR6 (1995-2014)","Historical",0.7,0.3,0.8,0.2,1.0,0.2,1.3

CORDEX Europe - Days with TX above 40ºC (TX40)  days - 1981-2010   - June (48 models)-MED
