Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",6.3,4.0,6.9,2.8,11.9,1.8,14.6
"WMO (1961-1990)","Historical",6.0,4.0,7.4,2.9,12.1,2.2,14.9
"1961-2015","Historical",6.5,4.5,8.0,3.3,12.6,2.5,15.3
"1980-2015","Historical",6.8,4.8,8.4,3.5,12.9,2.7,15.5
"WMO (1981-2010)","Historical",6.8,4.8,8.3,3.4,12.8,2.6,15.4
"AR5 (1986-2005)","Historical",6.9,4.7,8.2,3.4,12.7,2.7,15.6
"AR6 (1995-2014)","Historical",7.5,5.1,8.9,4.0,13.3,3.0,16.1

CMIP6 - Days with TX above 35ºC (TX35)  days - 1981-2010   - July (28 models)-MED
