Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",1.1,0.8,1.6,0.6,2.0,0.2,2.4
"1961-2015","Historical",1.4,1.0,1.9,0.7,2.3,0.3,2.7
"1980-2015","Historical",1.5,1.0,2.0,0.8,2.4,0.3,2.8
"WMO (1981-2010)","Historical",1.4,1.0,2.0,0.7,2.4,0.3,2.8
"AR5 (1986-2005)","Historical",1.5,1.0,1.9,0.7,2.4,0.3,2.8
"AR6 (1995-2014)","Historical",1.6,1.1,2.2,0.8,2.7,0.4,3.0

CORDEX Europe - Days with TX above 40ºC (TX40)  days - 1981-2010   - July (48 models)-MED
