Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",1.3,0.5,2.4,0.3,5.9,0.1,7.5
"WMO (1961-1990)","Historical",1.4,0.6,2.5,0.3,6.2,0.2,7.7
"1961-2015","Historical",1.7,0.8,2.8,0.5,6.8,0.3,8.4
"1980-2015","Historical",2.0,0.9,3.0,0.5,7.1,0.3,8.9
"WMO (1981-2010)","Historical",1.9,0.8,2.9,0.5,7.0,0.3,8.7
"AR5 (1986-2005)","Historical",1.9,0.8,2.9,0.6,7.1,0.3,8.7
"AR6 (1995-2014)","Historical",2.4,1.0,3.3,0.6,7.9,0.3,9.8

CMIP6 - Days with TX above 40ºC (TX40)  days - 1981-2010   - July (28 models)-MED
