Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",5.1,4.1,6.2,3.1,6.5,2.9,7.0
"1961-2015","Historical",5.4,4.2,6.6,3.3,7.2,3.2,7.6
"1980-2015","Historical",5.5,4.3,6.8,3.4,7.4,3.2,7.8
"WMO (1981-2010)","Historical",5.4,4.3,6.7,3.3,7.3,3.1,7.7
"AR5 (1986-2005)","Historical",5.4,4.2,6.7,3.3,7.3,3.1,7.6
"AR6 (1995-2014)","Historical",5.8,4.7,7.2,3.6,7.8,3.4,8.5

CORDEX Europe - Days with TX above 35ºC (TX35)  days - 1981-2010   - July (48 models)-MED
