Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","RCP8.5",1.5,1.4,1.6,1.4,1.8,1.3,1.9
"Warming 2°C","RCP8.5",1.9,1.7,2.1,1.6,2.3,1.6,2.3
"Warming 3°C","RCP8.5",2.5,2.5,2.7,2.3,3.0,2.1,3.1
"Warming 4°C","RCP8.5",3.4,3.2,3.7,3.0,4.2,3.0,4.2

CORDEX Europe - Bias Adjusted TX35  days - Warming 2°C RCP8.5  - May (36 models)-MED
