Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","SSP5-8.5",1.5,1.0,2.0,0.8,4.7,0.5,7.6
"Warming 2°C","SSP5-8.5",1.8,1.3,2.4,1.0,5.5,0.7,8.1
"Warming 3°C","SSP5-8.5",2.7,2.0,3.1,1.6,6.6,1.1,9.3
"Warming 4°C","SSP5-8.5",3.4,2.2,3.6,1.7,4.0,1.3,4.4

CMIP6 - Days with TX above 35ºC (TX35)  days - Warming 2°C SSP5-8.5  - May (27 models)-MED
