Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",0.8,0.3,1.8,0.2,4.9,0.1,6.5
"WMO (1961-1990)","Historical",1.0,0.5,1.8,0.2,5.0,0.1,6.6
"1961-2015","Historical",1.2,0.6,2.2,0.3,5.6,0.2,7.3
"1980-2015","Historical",1.4,0.8,2.4,0.4,5.9,0.3,7.6
"WMO (1981-2010)","Historical",1.3,0.7,2.3,0.3,5.8,0.2,7.5
"AR5 (1986-2005)","Historical",1.3,0.7,2.5,0.3,6.2,0.2,7.7
"AR6 (1995-2014)","Historical",1.7,0.9,2.7,0.4,6.9,0.3,8.5

CMIP6 - Days with TX above 40ºC (TX40)  days - 1981-2010   - August (28 models)-MED
