Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",5.4,3.6,6.5,2.5,11.2,1.7,13.6
"WMO (1961-1990)","Historical",5.6,3.6,6.9,2.6,11.6,2.1,13.7
"1961-2015","Historical",6.0,4.3,7.5,2.9,12.1,2.4,14.3
"1980-2015","Historical",6.3,4.5,8.1,3.2,12.4,2.6,14.5
"WMO (1981-2010)","Historical",6.1,4.4,8.0,3.0,12.2,2.5,14.4
"AR5 (1986-2005)","Historical",6.3,4.3,8.1,2.8,12.5,2.5,14.7
"AR6 (1995-2014)","Historical",6.7,5.0,8.6,3.5,13.0,2.9,14.8

CMIP6 - Days with TX above 35ºC (TX35)  days - 1981-2010   - August (28 models)-MED
