Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",4.7,3.5,5.3,2.5,6.1,2.4,6.3
"1961-2015","Historical",5.1,3.9,6.1,2.8,6.6,2.6,6.8
"1980-2015","Historical",5.2,4.0,6.4,2.9,6.7,2.7,7.0
"WMO (1981-2010)","Historical",5.2,4.0,6.3,2.9,6.7,2.6,7.0
"AR5 (1986-2005)","Historical",5.2,4.1,6.3,2.9,6.6,2.5,6.8
"AR6 (1995-2014)","Historical",5.4,4.3,6.7,3.1,7.2,3.0,7.6

CORDEX Europe - Days with TX above 35ºC (TX35)  days - 1981-2010   - August (48 models)-MED
