Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",0.2,0.1,0.3,0.0,0.6,0.0,1.9
"WMO (1961-1990)","Historical",0.2,0.1,0.3,0.1,0.8,0.1,2.1
"1961-2015","Historical",0.2,0.1,0.4,0.1,0.8,0.1,2.2
"1980-2015","Historical",0.3,0.1,0.4,0.1,0.8,0.1,2.2
"WMO (1981-2010)","Historical",0.3,0.1,0.4,0.1,0.8,0.1,2.2
"AR5 (1986-2005)","Historical",0.2,0.1,0.4,0.1,0.8,0.1,2.3
"AR6 (1995-2014)","Historical",0.3,0.1,0.4,0.1,0.9,0.1,2.3

CMIP6 - Days with TX above 35ºC (TX35)  days - 1981-2010   - April (28 models)-MED
