Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",1.7,1.0,2.7,0.6,4.0,0.4,6.0
"WMO (1961-1990)","Historical",1.8,1.0,2.6,0.6,4.3,0.5,6.3
"1961-2015","Historical",2.2,1.2,2.8,0.8,4.7,0.7,6.8
"1980-2015","Historical",2.4,1.4,3.2,0.9,5.0,0.8,7.1
"WMO (1981-2010)","Historical",2.3,1.3,3.0,0.8,4.8,0.7,6.8
"AR5 (1986-2005)","Historical",2.3,1.3,3.0,0.9,4.9,0.7,6.9
"AR6 (1995-2014)","Historical",2.7,1.6,3.5,1.1,5.3,1.0,7.5

CMIP6 - Days with TX above 35ºC (TX35)  days - 1995-2014   - September (28 models)-MED
