Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",2.1,2.0,2.2,2.0,2.3,1.9,2.3
"1961-2015","Historical",2.4,2.3,2.4,2.2,2.5,2.2,2.5
"1980-2015","Historical",2.5,2.4,2.5,2.3,2.5,2.3,2.6
"WMO (1981-2010)","Historical",2.5,2.4,2.5,2.4,2.5,2.4,2.5
"AR5 (1986-2005)","Historical",2.4,2.4,2.5,2.3,2.5,2.3,2.5
"AR6 (1995-2014)","Historical",2.6,2.5,2.7,2.4,2.9,2.4,2.9

CORDEX Europe - Bias Adjusted TX35  days - 1981-2010   - September (38 models)-MED
