Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",0.1,0.0,0.3,0.0,0.7,0.0,2.5
"WMO (1961-1990)","Historical",0.1,0.0,0.4,0.0,0.9,0.0,2.7
"1961-2015","Historical",0.1,0.1,0.5,0.0,1.1,0.0,2.9
"1980-2015","Historical",0.2,0.1,0.5,0.0,1.2,0.0,3.1
"WMO (1981-2010)","Historical",0.2,0.1,0.5,0.0,1.1,0.0,3.0
"AR5 (1986-2005)","Historical",0.2,0.1,0.5,0.0,1.1,0.0,3.0
"AR6 (1995-2014)","Historical",0.2,0.1,0.6,0.0,1.4,0.0,3.4

CMIP6 - Days with TX above 40ºC (TX40)  days - 1995-2014   - September (28 models)-MED
