Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",1.4,0.9,1.8,0.6,2.0,0.5,2.3
"1961-2015","Historical",1.7,1.1,2.0,0.8,2.3,0.6,2.4
"1980-2015","Historical",1.7,1.2,2.1,0.8,2.3,0.6,2.6
"WMO (1981-2010)","Historical",1.8,1.2,2.1,0.8,2.4,0.6,2.5
"AR5 (1986-2005)","Historical",1.7,1.2,2.0,0.8,2.3,0.7,2.5
"AR6 (1995-2014)","Historical",1.9,1.3,2.3,0.9,2.6,0.7,2.9

CORDEX Europe - Days with TX above 35ºC (TX35)  days - 1981-2010   - September (48 models)-MED
