Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",0.0,0.0,0.0,0.0,0.1,0.0,0.3
"WMO (1961-1990)","Historical",0.0,0.0,0.0,0.0,0.1,0.0,0.4
"1961-2015","Historical",0.0,0.0,0.0,0.0,0.1,0.0,0.4
"1980-2015","Historical",0.0,0.0,0.1,0.0,0.1,0.0,0.4
"WMO (1981-2010)","Historical",0.0,0.0,0.1,0.0,0.1,0.0,0.4
"AR5 (1986-2005)","Historical",0.0,0.0,0.1,0.0,0.1,0.0,0.4
"AR6 (1995-2014)","Historical",0.0,0.0,0.1,0.0,0.1,0.0,0.5

CMIP6 - Days with TX above 35ºC (TX35)  days - 1981-2010   - March (28 models)-MED
