Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","SSP5-8.5",2.9,2.5,3.2,2.4,3.4,2.4,3.6
"Warming 2°C","SSP5-8.5",3.4,3.1,3.9,3.0,4.2,3.0,4.3
"Warming 3°C","SSP5-8.5",5.0,4.4,5.5,4.2,5.8,4.1,6.1
"Warming 4°C","SSP5-8.5",6.4,5.8,7.3,5.4,7.7,5.1,7.8

CMIP6 - Bias Adjusted TX40  days - Warming 1.5°C SSP5-8.5  - July (25 models)-MED
