Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","RCP8.5",2.5,2.3,2.9,2.2,3.1,2.2,3.1
"Warming 2°C","RCP8.5",3.1,2.9,3.4,2.8,3.7,2.7,3.7
"Warming 3°C","RCP8.5",4.4,4.0,4.6,3.9,4.9,3.8,5.0
"Warming 4°C","RCP8.5",5.5,5.3,5.8,5.2,6.2,5.1,6.3

CORDEX Europe - Bias Adjusted TX40  days - Warming 1.5°C RCP8.5  - July (36 models)-MED
