Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","SSP5-8.5",4.5,4.2,4.7,3.9,4.9,3.8,4.9
"Warming 2°C","SSP5-8.5",5.3,5.0,5.4,4.4,5.7,4.2,5.7
"Warming 3°C","SSP5-8.5",6.6,6.1,6.9,5.8,7.5,5.6,7.6
"Warming 4°C","SSP5-8.5",8.4,7.5,8.6,6.8,8.8,6.5,8.9

CMIP6 - Bias Adjusted TX35  days - Warming 2°C SSP5-8.5  - June (25 models)-MED
