Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","RCP8.5",1.2,1.1,1.5,1.1,1.7,1.0,1.7
"Warming 2°C","RCP8.5",1.6,1.5,1.8,1.4,2.2,1.3,2.3
"Warming 3°C","RCP8.5",2.4,2.2,2.7,2.0,3.0,2.0,3.3
"Warming 4°C","RCP8.5",3.1,2.9,3.4,2.8,3.6,2.8,3.7

CORDEX Europe - Bias Adjusted TX40  days - Warming 2°C RCP8.5  - June (36 models)-MED
