Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","RCP8.5",6.3,5.0,7.4,3.7,8.7,3.4,9.1
"Warming 2°C","RCP8.5",7.1,5.8,8.4,4.5,9.9,3.9,10.1
"Warming 3°C","RCP8.5",8.7,7.5,9.8,6.2,11.7,5.5,11.8
"Warming 4°C","RCP8.5",9.9,9.2,11.1,7.6,13.0,6.9,13.2

CORDEX Europe - Days with TX above 35ºC (TX35)  days - Warming 1.5°C RCP8.5  - August (45 models)-MED
