Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",1.0,1.0,1.1,0.9,1.2,0.8,1.2
"1961-2015","Historical",1.1,1.0,1.2,1.0,1.3,1.0,1.3
"1980-2015","Historical",1.1,1.1,1.2,1.0,1.3,1.0,1.3
"WMO (1981-2010)","Historical",1.1,1.1,1.2,1.1,1.2,1.0,1.2
"AR5 (1986-2005)","Historical",1.1,1.1,1.1,1.0,1.2,1.0,1.2
"AR6 (1995-2014)","Historical",1.2,1.1,1.4,1.0,1.5,1.0,1.5

CORDEX Europe - Bias Adjusted TX35  days - 1981-2010   - May (38 models)-MED
