Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",NaN,NaN,NaN,NaN,NaN,NaN,NaN
"WMO (1961-1990)","Historical",0.9,0.8,1.0,0.8,1.0,0.8,1.1
"1961-2015","Historical",1.1,1.0,1.1,0.9,1.1,0.9,1.1
"1980-2015","Historical",1.1,1.1,1.1,1.0,1.2,1.0,1.2
"WMO (1981-2010)","Historical",1.1,1.1,1.1,1.0,1.1,1.0,1.1
"AR5 (1986-2005)","Historical",1.1,1.0,1.1,1.0,1.1,1.0,1.1
"AR6 (1995-2014)","Historical",1.2,1.1,1.3,1.1,1.4,1.1,1.4

CMIP6 - Bias Adjusted TX35  days - 1981-2010   - May (26 models)-MED
