Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",0.1,0.0,0.2,0.0,0.5,0.0,2.7
"WMO (1961-1990)","Historical",0.1,0.0,0.2,0.0,0.5,0.0,2.5
"1961-2015","Historical",0.1,0.1,0.2,0.0,0.6,0.0,2.7
"1980-2015","Historical",0.1,0.1,0.3,0.0,0.6,0.0,2.8
"WMO (1981-2010)","Historical",0.1,0.1,0.3,0.0,0.6,0.0,2.8
"AR5 (1986-2005)","Historical",0.1,0.1,0.2,0.0,0.6,0.0,2.8
"AR6 (1995-2014)","Historical",0.1,0.1,0.3,0.0,0.7,0.0,2.9

CMIP6 - Days with TX above 40ºC (TX40)  days - 1981-2010   - May (28 models)-MED
