Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Preindustrial (1850-1900)","Historical",0.8,0.5,1.3,0.3,2.7,0.2,5.6
"WMO (1961-1990)","Historical",0.9,0.5,1.3,0.4,2.8,0.3,5.3
"1961-2015","Historical",1.1,0.6,1.4,0.5,3.0,0.3,5.6
"1980-2015","Historical",1.2,0.6,1.5,0.5,3.1,0.4,5.7
"WMO (1981-2010)","Historical",1.1,0.6,1.4,0.5,3.1,0.4,5.7
"AR5 (1986-2005)","Historical",1.1,0.6,1.4,0.5,3.3,0.4,5.8
"AR6 (1995-2014)","Historical",1.3,0.7,1.7,0.6,3.4,0.4,6.0

CMIP6 - Days with TX above 35ºC (TX35)  days - 1981-2010   - May (28 models)-MED
