"","site","period","Model","Bias_adjust","TX","GWL","prob_occ","prop_change"
"66","lowl","g2g3","CORDEX Europe",FALSE,40,1,0.00757575757575612,1
"67","lowl","g2g3","CORDEX Europe",FALSE,40,1.5,0.00988142292489929,1.30434782608696
"68","lowl","g2g3","CORDEX Europe",FALSE,40,2,0.0128458498023691,1.69565217391304
"69","lowl","g2g3","CORDEX Europe",FALSE,40,3,0.0197628458497986,2.60869565217391
"70","lowl","g2g3","CORDEX Europe",FALSE,40,4,0.0247035573122482,3.26086956521739
"71","lowl","g2g3","CORDEX Europe",TRUE,35,1,0.121212121212112,1
"72","lowl","g2g3","CORDEX Europe",TRUE,35,1.5,0.141414141414131,1.16666666666667
"73","lowl","g2g3","CORDEX Europe",TRUE,35,2,0.162878787878775,1.34375
"74","lowl","g2g3","CORDEX Europe",TRUE,35,3,0.205808080808065,1.69791666666667
"75","lowl","g2g3","CORDEX Europe",TRUE,35,4,0.242424242424224,2
"76","lowl","g2g3","CORDEX Europe",TRUE,40,1,0.00757575757575612,1
"77","lowl","g2g3","CORDEX Europe",TRUE,40,1.5,0.00934343434343255,1.23333333333333
"78","lowl","g2g3","CORDEX Europe",TRUE,40,2,0.0118686868686846,1.56666666666667
"79","lowl","g2g3","CORDEX Europe",TRUE,40,3,0.0171717171717139,2.26666666666667
"80","lowl","g2g3","CORDEX Europe",TRUE,40,4,0.0217171717171675,2.86666666666667
"81","lowl","g3g4","CMIP6",FALSE,35,1,0.340277777777762,1
"82","lowl","g3g4","CMIP6",FALSE,35,1.5,0.414563771517978,1.21830985915493
"83","lowl","g3g4","CMIP6",FALSE,35,2,0.479264475743327,1.40845070422535
"84","lowl","g3g4","CMIP6",FALSE,35,3,0.567928403755842,1.66901408450704
"85","lowl","g3g4","CMIP6",FALSE,35,4,0.639818075117341,1.88028169014085
"86","lowl","g3g4","CMIP6",FALSE,40,1,0.0416666666666668,1
"87","lowl","g3g4","CMIP6",FALSE,40,1.5,0.0579268292682929,1.39024390243902
"88","lowl","g3g4","CMIP6",FALSE,40,2,0.074186991869919,1.78048780487805
"89","lowl","g3g4","CMIP6",FALSE,40,3,0.113821138211382,2.73170731707317
"90","lowl","g3g4","CMIP6",FALSE,40,4,0.14329268292683,3.4390243902439
"91","lowl","g3g4","CMIP6",TRUE,35,1,0.340277777777762,1
"92","lowl","g3g4","CMIP6",TRUE,35,1.5,0.436689814814795,1.28333333333333
"93","lowl","g3g4","CMIP6",TRUE,35,2,0.510416666666643,1.5
"94","lowl","g3g4","CMIP6",TRUE,35,3,0.649363425925896,1.90833333333333
"95","lowl","g3g4","CMIP6",TRUE,35,4,0.788310185185149,2.31666666666667
"96","lowl","g3g4","CMIP6",TRUE,40,1,0.0416666666666668,1
"97","lowl","g3g4","CMIP6",TRUE,40,1.5,0.0583333333333335,1.4
"98","lowl","g3g4","CMIP6",TRUE,40,2,0.0708333333333336,1.7
"99","lowl","g3g4","CMIP6",TRUE,40,3,0.103125,2.475
"100","lowl","g3g4","CMIP6",TRUE,40,4,0.135416666666667,3.25
"101","lowl","g3g4","CORDEX Europe",FALSE,35,1,0.340277777777762,1
"102","lowl","g3g4","CORDEX Europe",FALSE,35,1.5,0.391927083333315,1.15178571428571
"103","lowl","g3g4","CORDEX Europe",FALSE,35,2,0.431423611111091,1.26785714285714
"104","lowl","g3g4","CORDEX Europe",FALSE,35,3,0.534722222222198,1.57142857142857
"105","lowl","g3g4","CORDEX Europe",FALSE,35,4,0.607638888888861,1.78571428571429
"106","lowl","g3g4","CORDEX Europe",FALSE,40,1,0.0416666666666668,1
"107","lowl","g3g4","CORDEX Europe",FALSE,40,1.5,0.0560344827586209,1.3448275862069
"108","lowl","g3g4","CORDEX Europe",FALSE,40,2,0.0718390804597703,1.72413793103448
"109","lowl","g3g4","CORDEX Europe",FALSE,40,3,0.10632183908046,2.55172413793103
"110","lowl","g3g4","CORDEX Europe",FALSE,40,4,0.14080459770115,3.37931034482759
"111","lowl","g3g4","CORDEX Europe",TRUE,35,1,0.340277777777762,1
"112","lowl","g3g4","CORDEX Europe",TRUE,35,1.5,0.396522038567475,1.16528925619835
"113","lowl","g3g4","CORDEX Europe",TRUE,35,2,0.458390725436159,1.34710743801653
"114","lowl","g3g4","CORDEX Europe",TRUE,35,3,0.576503673094556,1.69421487603306
