Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","RCP8.5",0.6,0.5,0.6,0.5,0.7,0.4,0.7
"Warming 2°C","RCP8.5",0.8,0.7,0.9,0.7,1.1,0.7,1.1
"Warming 3°C","RCP8.5",1.3,1.2,1.6,1.1,1.8,1.0,1.9
"Warming 4°C","RCP8.5",2.1,1.9,2.4,1.8,2.5,1.8,2.7

CORDEX Europe - Bias Adjusted TX40  days - Warming 1.5°C RCP8.5  - September (36 models)-MED
