Period,Scenario,Median,P25,P75,P10,P90,P5,P95
"Warming 1.5°C","SSP5-8.5",3.9,3.5,4.0,3.2,4.2,3.0,4.3
"Warming 2°C","SSP5-8.5",4.6,4.1,4.9,3.9,5.2,3.5,5.3
"Warming 3°C","SSP5-8.5",6.3,5.8,6.5,5.3,6.9,5.2,7.4
"Warming 4°C","SSP5-8.5",8.0,7.2,8.7,6.6,9.1,6.4,9.3

CMIP6 - Bias Adjusted TX35  days - Warming 1.5°C SSP5-8.5  - September (25 models)-MED
